time,open,high,low,close
2009-03-31 12:00:00,917.58,924.06,913.58,921.96
2009-03-31 16:00:00,922.0,922.5,911.84,919.11
2009-03-31 20:00:00,919.09,922.98,917.12,918.69
2009-04-01 00:00:00,918.63,921.71,916.33,921.05
2009-04-01 04:00:00,921.0,921.14,918.95,919.3
2009-04-01 08:00:00,919.36,919.47,916.18,918.82
2009-04-01 12:00:00,918.74,932.36,918.26,928.16
2009-04-01 16:00:00,928.11,928.96,918.1,924.81
2009-04-01 20:00:00,924.72,926.62,923.32,926.22
2009-04-02 00:00:00,926.27,926.79,924.15,925.08
2009-04-02 04:00:00,925.06,928.55,923.9,927.46
2009-04-02 08:00:00,927.35,927.73,918.28,918.28
2009-04-02 12:00:00,918.34,919.77,908.43,912.63
2009-04-02 16:00:00,912.52,914.0,894.47,904.95
2009-04-02 20:00:00,904.97,908.29,901.18,903.86
2009-04-03 00:00:00,903.86,907.69,902.29,903.19
2009-04-03 04:00:00,903.16,905.77,901.87,904.49
2009-04-03 08:00:00,904.5,908.42,902.36,903.68
2009-04-03 12:00:00,903.7,904.04,895.36,900.0
2009-04-03 16:00:00,899.85,907.89,895.22,897.31
2009-04-03 20:00:00,897.07,897.44,890.03,891.8
2009-04-06 00:00:00,892.25,896.36,885.53,886.62
2009-04-06 04:00:00,886.78,887.03,873.33,879.7
2009-04-06 08:00:00,879.72,881.22,874.8,880.48
2009-04-06 12:00:00,880.39,881.68,875.24,876.91
2009-04-06 16:00:00,876.66,878.97,865.1,871.14
2009-04-06 20:00:00,871.31,873.67,867.44,868.46
2009-04-07 00:00:00,868.41,874.58,867.82,873.34
2009-04-07 04:00:00,873.34,877.41,873.08,876.95
2009-04-07 08:00:00,876.93,879.46,874.63,875.32
2009-04-07 12:00:00,875.49,880.15,872.76,877.75
2009-04-07 16:00:00,877.3,884.04,875.08,881.7
2009-04-07 20:00:00,881.61,884.23,880.08,880.47
2009-04-08 00:00:00,880.26,884.37,879.55,880.68
2009-04-08 04:00:00,880.8,886.59,879.4,886.44
2009-04-08 08:00:00,886.29,888.46,885.31,887.24
2009-04-08 12:00:00,887.17,888.82,881.91,885.17
2009-04-08 16:00:00,885.17,888.89,878.05,888.89
2009-04-08 20:00:00,888.88,889.44,879.08,880.29
2009-04-09 00:00:00,880.2,882.47,879.01,881.96
2009-04-09 04:00:00,881.87,883.95,881.27,883.39
2009-04-09 08:00:00,883.41,885.91,879.93,885.08
2009-04-09 12:00:00,885.2,885.92,874.24,875.73
2009-04-09 16:00:00,875.54,883.44,875.2,879.59
2009-04-09 20:00:00,879.59,882.87,876.7,878.6
2009-04-10 00:00:00,878.48,878.96,877.2,877.4
2009-04-10 04:00:00,877.4,880.35,877.28,880.25
2009-04-10 08:00:00,880.24,883.69,880.17,883.59
2009-04-10 12:00:00,883.69,883.9,882.69,882.72
2009-04-10 16:00:00,882.8,882.88,880.3,880.46
2009-04-10 20:00:00,880.38,880.62,880.26,880.42
2009-04-13 00:00:00,880.42,884.53,880.28,884.24
2009-04-13 04:00:00,884.29,888.57,883.47,888.19
2009-04-13 08:00:00,888.12,888.74,885.83,887.57
2009-04-13 12:00:00,887.37,896.3,884.64,896.3
2009-04-13 16:00:00,896.3,899.3,893.41,894.2
2009-04-13 20:00:00,893.98,894.81,890.9,893.03
2009-04-14 00:00:00,893.28,895.78,891.46,894.14
2009-04-14 04:00:00,894.16,897.91,893.14,896.79
2009-04-14 08:00:00,896.57,897.86,894.07,894.64
2009-04-14 12:00:00,894.79,896.4,886.99,891.74
2009-04-14 16:00:00,891.84,892.95,886.0,892.56
2009-04-14 20:00:00,892.44,892.54,885.79,889.88
2009-04-15 00:00:00,889.9,891.77,887.05,891.3
2009-04-15 04:00:00,891.26,892.72,889.47,891.56
2009-04-15 08:00:00,891.61,892.07,888.64,890.68
2009-04-15 12:00:00,890.43,898.1,886.66,889.51
2009-04-15 16:00:00,889.53,894.03,887.86,890.59
2009-04-15 20:00:00,890.53,892.8,889.72,890.15
2009-04-16 00:00:00,890.43,891.3,887.34,888.75
2009-04-16 04:00:00,888.8,891.04,886.76,890.33
2009-04-16 08:00:00,890.26,892.57,889.78,891.33
2009-04-16 12:00:00,891.46,893.12,886.39,889.14
2009-04-16 16:00:00,889.19,890.29,876.4,877.9
2009-04-16 20:00:00,877.8,879.61,871.59,874.79
2009-04-17 00:00:00,874.91,876.25,872.45,873.32
2009-04-17 04:00:00,873.3,875.0,872.14,873.4
2009-04-17 08:00:00,873.33,875.31,869.26,870.34
2009-04-17 12:00:00,870.31,872.86,866.54,871.81
2009-04-17 16:00:00,871.96,872.62,864.64,866.5
2009-04-17 20:00:00,866.41,868.32,865.54,867.66
2009-04-20 00:00:00,867.65,869.47,864.33,865.56
2009-04-20 04:00:00,865.58,869.6,865.0,868.32
2009-04-20 08:00:00,868.35,872.56,867.09,869.46
2009-04-20 12:00:00,869.43,878.7,868.69,877.48
2009-04-20 16:00:00,877.3,887.93,874.58,884.78
2009-04-20 20:00:00,884.83,887.28,882.18,883.84
2009-04-21 00:00:00,883.81,887.66,882.04,886.95
2009-04-21 04:00:00,886.71,887.12,885.03,885.5
2009-04-21 08:00:00,885.46,891.66,885.12,888.0
2009-04-21 12:00:00,888.29,894.09,884.66,892.54
2009-04-21 16:00:00,892.55,893.93,880.49,884.56
2009-04-21 20:00:00,884.36,884.95,878.61,883.26
2009-04-22 00:00:00,883.28,884.06,881.32,883.69
2009-04-22 04:00:00,883.65,884.36,881.78,883.15
2009-04-22 08:00:00,883.1,887.11,882.46,885.34
2009-04-22 12:00:00,885.33,889.48,881.26,885.54
2009-04-22 16:00:00,885.53,889.99,883.55,889.36
2009-04-22 20:00:00,889.31,893.01,887.89,889.13
2009-04-23 00:00:00,889.14,894.14,888.82,893.88
2009-04-23 04:00:00,893.85,893.85,890.66,891.35
2009-04-23 08:00:00,891.26,894.47,889.4,892.8
2009-04-23 12:00:00,892.87,894.08,890.67,893.83
2009-04-23 16:00:00,893.95,908.22,891.45,906.47
2009-04-23 20:00:00,906.36,906.97,901.33,904.0
2009-04-24 00:00:00,903.99,906.27,901.72,904.98
2009-04-24 04:00:00,905.04,911.21,903.66,909.72
2009-04-24 08:00:00,909.56,912.7,908.71,910.52
2009-04-24 12:00:00,910.54,912.19,904.92,908.72
2009-04-24 16:00:00,908.68,912.05,904.16,910.3
2009-04-24 20:00:00,910.22,913.25,909.87,912.22
2009-04-27 00:00:00,911.92,917.94,910.79,916.07
2009-04-27 04:00:00,915.93,916.17,913.29,914.26
2009-04-27 08:00:00,914.3,915.84,910.58,911.34
2009-04-27 12:00:00,911.2,914.0,905.75,905.86
2009-04-27 16:00:00,905.64,912.09,904.6,909.27
2009-04-27 20:00:00,909.11,909.63,904.79,905.7
2009-04-28 00:00:00,905.72,906.49,895.16,897.97
2009-04-28 04:00:00,898.17,900.74,895.18,898.72
2009-04-28 08:00:00,898.62,900.18,894.06,896.3
2009-04-28 12:00:00,896.29,899.98,884.72,887.05
2009-04-28 16:00:00,887.07,892.82,886.19,892.82
2009-04-28 20:00:00,892.78,894.09,890.23,892.91
2009-04-29 00:00:00,893.0,893.0,887.24,889.31
2009-04-29 04:00:00,889.42,893.23,889.03,892.48
2009-04-29 08:00:00,892.56,896.35,891.89,895.41
2009-04-29 12:00:00,895.12,901.22,892.95,899.47
2009-04-29 16:00:00,899.24,900.58,895.06,898.19
2009-04-29 20:00:00,898.13,902.48,892.99,897.39
2009-04-30 00:00:00,897.43,898.18,892.1,894.04
2009-04-30 04:00:00,894.07,895.2,892.85,893.99
2009-04-30 08:00:00,893.78,899.59,893.58,898.56
2009-04-30 12:00:00,898.69,898.69,880.81,881.8
2009-04-30 16:00:00,881.71,888.54,880.05,887.65
2009-04-30 20:00:00,887.63,892.39,887.2,887.81
2009-05-01 00:00:00,887.86,888.23,882.58,883.75
2009-05-01 04:00:00,883.88,885.97,883.22,885.42
2009-05-01 08:00:00,885.41,886.54,879.62,882.44
2009-05-01 12:00:00,882.46,885.65,880.41,883.6
2009-05-01 16:00:00,883.8,889.42,881.89,886.65
2009-05-01 20:00:00,886.56,887.83,884.03,885.75
2009-05-04 00:00:00,885.52,887.11,883.98,885.96
2009-05-04 04:00:00,885.91,892.4,885.65,891.8
2009-05-04 08:00:00,891.71,894.47,891.2,893.05
2009-05-04 12:00:00,892.77,893.3,888.27,889.56
2009-05-04 16:00:00,889.45,905.86,889.0,903.05
2009-05-04 20:00:00,903.17,903.45,898.73,901.33
2009-05-05 00:00:00,901.38,904.22,901.3,902.96
2009-05-05 04:00:00,903.05,905.24,902.54,903.87
2009-05-05 08:00:00,903.72,904.21,901.02,902.95
2009-05-05 12:00:00,902.88,915.23,900.04,914.32
2009-05-05 16:00:00,914.35,914.37,901.78,902.59
2009-05-05 20:00:00,902.41,903.24,895.37,896.74
2009-05-06 00:00:00,896.61,897.75,894.48,897.14
2009-05-06 04:00:00,897.22,901.35,896.86,901.21
2009-05-06 08:00:00,901.12,905.35,900.1,903.48
2009-05-06 12:00:00,903.48,910.41,901.69,906.09
2009-05-06 16:00:00,905.94,911.43,904.17,908.5
2009-05-06 20:00:00,908.48,911.04,907.48,910.68
2009-05-07 00:00:00,910.79,911.64,909.4,910.49
2009-05-07 04:00:00,910.61,911.57,909.17,910.39
2009-05-07 08:00:00,910.26,913.22,910.04,911.76
2009-05-07 12:00:00,911.83,924.99,911.14,919.86
2009-05-07 16:00:00,919.8,920.4,910.0,913.99
2009-05-07 20:00:00,913.85,917.71,909.21,910.27
2009-05-08 00:00:00,910.15,914.07,908.72,912.96
2009-05-08 04:00:00,912.96,913.95,911.55,913.63
2009-05-08 08:00:00,913.48,915.92,912.4,913.25
2009-05-08 12:00:00,913.19,919.14,911.63,913.21
2009-05-08 16:00:00,913.36,914.54,905.5,911.59
2009-05-08 20:00:00,911.49,916.18,911.08,915.82
2009-05-11 00:00:00,915.85,917.17,913.62,914.89
2009-05-11 04:00:00,914.95,915.66,912.5,915.08
2009-05-11 08:00:00,915.12,917.22,913.0,913.64
2009-05-11 12:00:00,913.51,913.75,908.82,911.03
2009-05-11 16:00:00,911.01,915.23,910.5,912.74
2009-05-11 20:00:00,912.54,913.91,910.8,912.59
2009-05-12 00:00:00,912.75,913.83,911.46,912.72
2009-05-12 04:00:00,912.7,913.78,911.4,912.03
2009-05-12 08:00:00,911.91,918.5,911.34,916.79
2009-05-12 12:00:00,916.91,922.54,916.38,918.52
2009-05-12 16:00:00,918.47,921.13,914.99,921.07
2009-05-12 20:00:00,921.09,923.28,920.43,922.33
2009-05-13 00:00:00,922.4,927.14,921.55,925.86
2009-05-13 04:00:00,925.98,926.58,924.24,926.36
2009-05-13 08:00:00,926.39,927.89,924.47,926.45
2009-05-13 12:00:00,926.26,926.29,917.16,919.42
2009-05-13 16:00:00,919.36,930.08,918.88,925.02
2009-05-13 20:00:00,924.98,926.87,924.18,925.56
2009-05-14 00:00:00,925.65,927.31,922.42,924.36
2009-05-14 04:00:00,924.29,925.61,922.76,923.62
2009-05-14 08:00:00,923.45,924.85,921.16,924.07
2009-05-14 12:00:00,924.19,924.62,920.25,923.12
2009-05-14 16:00:00,923.08,927.44,922.06,925.04
2009-05-14 20:00:00,924.97,928.14,924.71,925.51
2009-05-15 00:00:00,925.56,926.65,924.71,925.11
2009-05-15 04:00:00,925.11,926.91,924.71,926.57
2009-05-15 08:00:00,926.46,926.83,924.34,924.34
2009-05-15 12:00:00,924.52,929.81,922.96,926.84
2009-05-15 16:00:00,927.02,933.69,925.87,929.98
2009-05-15 20:00:00,930.03,931.75,927.46,931.05
2009-05-18 00:00:00,930.43,931.47,928.23,929.34
2009-05-18 04:00:00,929.22,933.23,928.53,932.97
2009-05-18 08:00:00,932.84,933.04,928.26,928.98
2009-05-18 12:00:00,928.99,930.37,926.9,929.71
2009-05-18 16:00:00,929.25,931.49,918.86,921.83
2009-05-18 20:00:00,921.93,922.58,915.86,917.76
2009-05-19 00:00:00,917.86,920.42,916.56,920.35
2009-05-19 04:00:00,920.35,922.15,919.54,921.23
2009-05-19 08:00:00,921.2,923.11,920.2,922.12
2009-05-19 12:00:00,922.33,924.55,919.02,921.21
2009-05-19 16:00:00,921.3,927.09,920.58,925.16
2009-05-19 20:00:00,925.15,928.86,924.15,924.31
2009-05-20 00:00:00,924.27,926.25,923.88,926.05
2009-05-20 04:00:00,926.0,926.96,924.78,926.59
2009-05-20 08:00:00,926.53,929.34,925.95,928.56
2009-05-20 12:00:00,928.62,932.94,926.41,928.02
2009-05-20 16:00:00,927.93,939.67,927.25,935.26
2009-05-20 20:00:00,935.23,939.03,934.43,937.93
2009-05-21 00:00:00,938.0,939.12,935.41,938.96
2009-05-21 04:00:00,938.79,942.57,938.17,941.25
2009-05-21 08:00:00,941.16,943.19,939.26,939.77
2009-05-21 12:00:00,939.85,940.75,936.36,937.58
2009-05-21 16:00:00,937.69,950.64,935.52,948.43
2009-05-21 20:00:00,948.33,955.72,948.06,952.89
2009-05-22 00:00:00,952.88,954.31,951.25,953.78
2009-05-22 04:00:00,953.79,953.95,950.82,951.69
2009-05-22 08:00:00,951.64,952.33,949.32,951.44
2009-05-22 12:00:00,951.37,959.12,950.47,955.55
2009-05-22 16:00:00,955.63,960.68,954.66,957.2
2009-05-22 20:00:00,957.2,958.5,955.67,956.47
2009-05-25 00:00:00,956.1,957.7,954.63,956.35
2009-05-25 04:00:00,956.17,956.99,953.44,953.69
2009-05-25 08:00:00,953.72,955.85,952.01,953.08
2009-05-25 12:00:00,952.88,955.61,952.36,955.1
2009-05-25 16:00:00,955.13,959.27,953.9,958.07
2009-05-25 20:00:00,957.91,958.49,957.44,958.45
2009-05-26 00:00:00,958.17,958.44,954.14,956.04
2009-05-26 04:00:00,956.04,956.18,953.46,954.33
2009-05-26 08:00:00,954.23,954.58,947.71,947.94
2009-05-26 12:00:00,948.0,951.39,940.77,949.04
2009-05-26 16:00:00,949.15,952.75,944.49,951.86
2009-05-26 20:00:00,951.9,954.4,950.26,951.32
2009-05-27 00:00:00,951.34,953.07,949.55,950.16
2009-05-27 04:00:00,950.24,950.5,947.11,949.7
2009-05-27 08:00:00,949.69,949.98,946.25,948.98
2009-05-27 12:00:00,948.6,953.7,946.73,952.55
2009-05-27 16:00:00,952.6,958.97,948.92,955.17
2009-05-27 20:00:00,955.02,955.71,947.38,949.07
2009-05-28 00:00:00,949.18,949.23,943.57,946.56
2009-05-28 04:00:00,946.58,947.56,945.17,946.33
2009-05-28 08:00:00,946.32,951.14,944.75,950.19
2009-05-28 12:00:00,950.3,956.15,948.18,954.53
2009-05-28 16:00:00,954.71,964.36,954.15,960.56
2009-05-28 20:00:00,960.62,961.6,957.85,958.77
2009-05-29 00:00:00,958.79,961.29,957.47,960.77
2009-05-29 04:00:00,960.77,964.35,960.42,961.9
2009-05-29 08:00:00,961.93,972.6,960.96,972.03
2009-05-29 12:00:00,971.96,976.06,970.14,975.41
2009-05-29 16:00:00,975.28,979.77,973.11,975.06
2009-05-29 20:00:00,975.06,978.8,974.48,978.4
2009-06-01 00:00:00,978.77,979.51,974.96,977.72
2009-06-01 04:00:00,977.67,984.16,977.22,984.16
2009-06-01 08:00:00,984.16,987.44,981.37,986.45
2009-06-01 12:00:00,986.35,988.06,978.88,980.16
2009-06-01 16:00:00,980.04,984.36,974.17,977.66
2009-06-01 20:00:00,977.55,980.32,973.2,974.32
2009-06-02 00:00:00,974.27,976.08,972.0,975.74
2009-06-02 04:00:00,975.77,977.73,975.21,976.58
2009-06-02 08:00:00,976.58,976.69,968.52,971.77
2009-06-02 12:00:00,971.76,983.78,970.72,981.93
2009-06-02 16:00:00,982.05,985.54,977.79,980.73
2009-06-02 20:00:00,980.5,982.69,978.68,981.22
2009-06-03 00:00:00,981.23,984.33,979.88,984.25
2009-06-03 04:00:00,984.08,986.3,982.59,986.09
2009-06-03 08:00:00,986.13,989.29,979.06,980.36
2009-06-03 12:00:00,980.38,982.19,973.22,976.5
2009-06-03 16:00:00,976.16,978.98,961.79,962.61
2009-06-03 20:00:00,962.45,965.6,960.44,962.35
2009-06-04 00:00:00,962.36,967.71,961.3,967.27
2009-06-04 04:00:00,967.3,968.35,965.08,965.64
2009-06-04 08:00:00,965.62,970.25,964.8,968.77
2009-06-04 12:00:00,968.82,969.55,960.31,968.83
2009-06-04 16:00:00,969.06,979.52,968.88,976.08
2009-06-04 20:00:00,976.12,981.12,975.67,979.42
2009-06-05 00:00:00,979.48,982.21,976.35,976.94
2009-06-05 04:00:00,976.98,979.68,975.71,977.8
2009-06-05 08:00:00,977.73,981.03,976.1,979.15
2009-06-05 12:00:00,979.33,981.8,961.93,961.95
2009-06-05 16:00:00,961.85,964.04,954.37,963.24
2009-06-05 20:00:00,963.49,964.09,952.39,954.78
2009-06-08 00:00:00,955.02,958.66,951.58,956.28
2009-06-08 04:00:00,956.0,959.59,955.6,958.2
2009-06-08 08:00:00,958.36,958.55,944.1,947.61
2009-06-08 12:00:00,947.49,951.59,945.7,947.07
2009-06-08 16:00:00,946.84,950.03,943.41,949.3
2009-06-08 20:00:00,949.17,953.34,948.66,951.15
2009-06-09 00:00:00,951.16,954.61,949.59,952.34
2009-06-09 04:00:00,952.33,952.93,946.88,949.22
2009-06-09 08:00:00,949.15,954.83,948.1,953.29
2009-06-09 12:00:00,953.33,959.0,948.32,957.54
2009-06-09 16:00:00,957.5,960.86,952.62,955.93
2009-06-09 20:00:00,956.04,956.69,952.02,954.24
2009-06-10 00:00:00,954.24,957.71,953.2,957.46
